Suburb,No_of_Crimes,Crime_Type_1,Crime_Type_2,Crime_Type_3
LEAWOOD GARDENS,64,SERIOUS CRIMINAL TRESPASS,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
MEDINDIE GARDENS,63,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
OAKBANK,63,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,FRAUD DECEPTION AND RELATED OFFENCES
TERINGIE,60,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
REID,56,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES
MOUNT OSMOND,54,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS,ACTS INTENDED TO CAUSE INJURY
WILLUNGA SOUTH,54,SERIOUS CRIMINAL TRESPASS,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
MOUNT TORRENS,52,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL,THEFT AND RELATED OFFENCES
LYNTON,48,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
CHANDLERS HILL,45,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS
BASKET RANGE,45,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES
SUMMERTOWN,44,SERIOUS CRIMINAL TRESPASS,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
INGLEWOOD,42,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL,THEFT AND RELATED OFFENCES
URAIDLA,42,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES
ASHTON,41,SERIOUS CRIMINAL TRESPASS,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
LENSWOOD,38,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
YATALA VALE,36,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,ACTS INTENDED TO CAUSE INJURY
ONKAPARINGA HEIGHTS,36,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL,THEFT AND RELATED OFFENCES
NORTON SUMMIT,35,SERIOUS CRIMINAL TRESPASS,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
SKYE,33,SERIOUS CRIMINAL TRESPASS,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
CAREY GULLY,30,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS
GREENHILL,28,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
MONTACUTE,24,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
PICCADILLY,24,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS,THEFT AND RELATED OFFENCES
WATERFALL GULLY,23,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
SCOTT CREEK,21,SERIOUS CRIMINAL TRESPASS,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
IRONBANK,20,FRAUD DECEPTION AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
FOREST RANGE,19,ACTS INTENDED TO CAUSE INJURY,OTHER OFFENCES AGAINST THE PERSON,PROPERTY DAMAGE AND ENVIRONMENTAL
MOUNT GEORGE,19,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
CHARLESTON,15,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL,FRAUD DECEPTION AND RELATED OFFENCES
BRADBURY,13,THEFT AND RELATED OFFENCES,FRAUD DECEPTION AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY
LONGWOOD,12,SERIOUS CRIMINAL TRESPASS,ACTS INTENDED TO CAUSE INJURY,OTHER OFFENCES AGAINST THE PERSON
CHERRYVILLE,5,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,FRAUD AND RELATED OFFENCES
MARBLE HILL,1,SERIOUS CRIMINAL TRESPASS,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE
